,Species
1,Allobaccha_allsp1
2,Allobaccha_allsp2
3,Allograpta_terraenovae
4,Austrosyphus_aussp1
5,Austrosyphus_collatus
6,Austrosyrphus_damastor
7,Brachyopa_vittata
8,Brachypalpoides_lentus
9,Caliprobola_speciosa
10,Chalcosyrphus_nemorum
11,Cheilosia_sp1
12,Chrysogaster_solstitialis
13,Chrysotoxum_bicinctum
14,Chrysotoxum_bincintum
15,Chrysotoxum_cautum
16,Chrysotoxum_intermedium
17,Chrysotoxum_verralli
18,Dasysyrphus_albostriatus
19,Dasysyrphus_friulensis
20,Dasysyrphus_venustus
21,Episyrphus_baleatus
22,Episyrphus_balteatus
23,Episyrphus_viridaureus
24,Eristalinus_aeneus
25,Eristalinus_megacephalus
26,Eristalinus_punctulatus
27,Eristalinus_suavissimus
28,Eristalinus_taeniops
29,Eristalis_arbustorum
30,Eristalis_interrupta
31,Eristalis_jugorum
32,Eristalis_pertinax
33,Eristalis_pratorum
34,Eristalis_tenax
35,Eumerus_ornatus
36,Eumerus_rieki
37,Eumerus_sp2
38,Eumerus_strigatus
39,Eupeodes_corollae
40,Eupeodes_lapponicus
41,Eupeodes_latifasciatus
42,Eupeodes_latilunulatus
43,Eupeodes_luniger
44,Eupeodes_nitens
45,Ferdinandea_cuprea
46,Helophilus_parallelus
47,Helophilus_pendulus
48,Ischiodon_scutellaris
49,Lejogaster_metallina
50,Melanostoma_mellinum
51,Melanostoma_scalare
52,Meligramma_cincta
53,Meliscaeva_auricollis
54,Meliscaeva_cinctella
55,Merodon_avidus
56,Merodon_equestris
57,Mesembrius_messp1
58,Myathropa_florea
59,Neocnemodon_vitripennis
60,Orthonevra_brevicornis
61,Paragus_haemorrhous
62,Paragus_parsp1
63,Paragus_sp1
64,Parasyrphus_punctulatus
65,Parasyrphus_vittiger
66,Pipiza_fenestrata
67,Pipiza_luteitarsis
68,Pipiza_noctiluca
69,Pipizella_sp1
70,Platycheirus_albimanus
71,Platycheirus_angustatus
72,Platycheirus_clypeatus
73,Platycheirus_europaeus
74,Platycheirus_occultus
75,Platycheirus_perpallidus
76,Platynochaetus_setosus
77,Rhingia_campestris
78,Rhingia_rostrata
79,Ripponesia_splendens
80,Scaeva_pyrastri
81,Scaeva_selenitica
82,Sericomyia_silentis
83,Simosyrphus_grandicornis
84,Sphaerophoria_macrogaster
85,Sphaerophoria_scripta
86,Sphaerophoria_taeniata
87,Sphegina_montana
88,Syritta_hackeri
89,Syritta_pipiens
90,Syritta_sp2
91,Syrphus_ribesii
92,Syrphus_torvus
93,Syrphus_vitripennis
94,Temnostoma_vespiforme
95,Triglyphus_fulvicornis
96,Volucella_elegans
97,Volucella_inflata
98,Volucella_pellucens
99,Xanthogramma_pedissequum
100,Xylota_coeruleiventris
101,Xylota_florum
102,Xylota_lentus
103,Xylota_segnis
104,Xylota_semulatra
105,Xylota_sylvarum